Sr. No.,utterance_text,topic,mi_quality
1640,"""And so this chronic inhaler can really prevent that from happening.""",asthma management,1
1641,This chronic inhaler can really prevent that from happening. Okay?,asthma management,1
1642,"It can really prevent that from happening, right?",asthma management,1
1643,"The other thing I was going tell her something I 'd like think her it confirmed that, The other thing I was going to tell you is that, unfortunately, uh, even though you are smoking outside and keeping the smoke away from her, the smoke on your clothes, because her lungs are so sensitive, can also affect her lungs and cause her to have a reaction. Now, something I'd like you to think about is that, if you use the chronic inhaler every day, she may not be sensitive to the smoke on your clothes, but she still maybe because her lungs are just very different than ours. Um, honestly, I'd love to see you quit smoking for you too because, you know, as you know, it's not real good for you.",asthma management,1
1644,"another thing i was going to tell you is that unfortunately, uh, even though you are smoking outside and keeping the smoke away from her,",asthma management,1
1645,"unfortunately, even though you smoke, you can also affect her lung and cause her to smoke. if you use a chronic inhaler every day, she may not be sensitive to smoke, but she may still be sensitive to her lung. you know, I'd like to see you quit smoking too, you know, because, you know, it's not really good for you.",asthma management,1
1646,"Tell you is that, unfortunately, uh, even tho you are smoking outside and keeping the smoke away from her, the smoke on your clothes,. I wouldnt mind if you use the chronic inhaler every day, she may not be sensitive to the smoke on your clothes. Um, honestly, I would love to see you quit smoking for you too because, as you know, it's not real good for you.",asthma management,1
1647,"The other thing I wanted to tell you is that unfortunately, erm, even though you smoke outside and keep the smoke away from her, the smoke on your clothes, because her lungs are so sensitive, can also affect her lungs and cause her to react. Well, something I want you to think about is that if you use the chronic inhaler every day, she may not be sensitive to the smoke on your clothes, but she may be sensitive anyway, because her lungs are just very different from ours. Er, honestly, I would be happy if you would give up smoking for you too, because, as you know, it is not really good for you.",asthma management,1
1648,"The other thing In my opinion I was uhm going to tell you is that, unfortunately, uh, even though you are smoking outside you know and keeping the smoke away from her, the smoke on perhaps your naturally clothes, I believe because her lungs are so sensitive, can also affect I mean her lungs and I mean cause her to have a most likely reaction. Now, something I'd like you to think about is that, if you use obviously the chronic ahh inhaler every day, she may not be I mean sensitive to the smoke on your clothes, but she still maybe because her lungs are just very different than ours. Um, honestly, that is I'd love possibly to see you quit smoking for you too because, you I would say know, as In my opinion you know, it's not real good for you.",asthma management,1
1649,"The other thing I was going to tell you is that, unfortunately, even though you are smoking outside and keeping the smoke away from her, the smoke on your clothes can also affect her lungs and cause her to have a reaction.",asthma management,1
1650,"Now, the other thing I was going to tell you is that, unfortunately, uh, even though you are smoking outside and keeping the smoke away from her, the smoke on your clothes can also affect her lungs and cause her to have a reaction. Now, something I'd like you to think about is that if you use the chronic inhaler every day, she may not be sensitive to the smoke, but she still may be sensitive because her lungs are just very different than ours.",asthma management,1
1651,"The other thing I was going to tell you is that, unfortunately, even though you are smoking outside and keeping the smoke away from her, the smoke can also affect her lungs and cause her to have a reaction.",asthma management,1
1652,"But the other thing that I was going to tell you is that if you are smoking outside and keeping the smoke away from her, the smoke on your clothes can also affect her lungs and cause her to have a reaction.",asthma management,1
1653,But the other thing that I was going to tell you is that the smoke on your clothes can also affect her lungs.,asthma management,1
1654,"The other thang I was going to tell you is that, unfortunately, uh, even though you are smoking outside and keeping the smoke away from her, the smoke on your clothes, because her lungs are so sensitive, can also affect her lungs and cause her to have a reaction. Now, something I'd like you to think about is that, if you use the chronic inhaler every day, she may not be sensitive to the smoke on your clothes, but she still maybe because her lungs are just very different than ours. Um, honestly, I'd love to see you quit smoking for you too because, you know, as you know, it's not real canny for you.",asthma management,1
1655,"It it confirmed that, It-it-it-- Yeah. It may not- it may not when she uses the chronic inhaler, uh, but you'll need to keep an eye on that. Obviously, it would be- what would be best if it didn't get on your clothes, or you quit smoking.",asthma management,1
1656,it-it-it-yeah it may not- it may not when she uses the chronic inhaler uh but you',asthma management,1
1657,"it's-it's-it's-it's-it. you don't have to worry about it, but you'll have to keep an eye on her. of course, it's best if you don't smoke, or you'll be in the dress.",asthma management,1
1658,"It-it-it-it-it-it-it. It may not- it may not when she uses the chronic inhaler, uh, but you'll need to keep an eye on that. Obviously, it would be- what would be best if it didnt get on your clothes, or quit smoking.",asthma management,1
1659,"She may not be using the chronic inhaler, erm, but you have to keep that in mind. Obviously, it would be best if it didn't come on your clothes, or if you stopped smoking.",asthma management,1
1660,"It-it-it-- Yeah. It actually may uhm not- it may not when she uses probably the chronic inhaler, uh, but you'll need maybe to naturally keep an eye on that. Obviously, I mean it would be- what would be best uhm if it didn't I would say get on your clothes, I mean or you quit In my opinion smoking.",asthma management,1
1661,"It-it-it-- Yeah. It may not- it may not when she uses the chronic inhaler, but you'll need to keep an eye on that.",asthma management,1
1662,"It-it's-it-it-- Yeah. It may not- it may not when she uses the chronic inhaler, but you'll need to keep an eye on that.",asthma management,1
1663,"Yeah. It may not- it may not when she uses the chronic inhaler, but you'll need to keep an eye on that. It would be- what would be best if it didn't get on your clothes or you quit smoking.",asthma management,1
1664,"Yeah. It may not- it may not when she uses the chronic inhaler, but you'll need to keep an eye on that.",asthma management,1
1665,What would be best if it didn't get on your clothes?,asthma management,1
1666,"It-it-it-- Yeah. It may not- it may not when she uses the chronic inhaler, uh, but you'll need to keep an mince pie on that. Obvs, it would be- what would be best if it didn't get on your clothes, or you quit smoking.",asthma management,1
1667,"transfer Formal to Casual: Very hard. It's very relaxing, and-",asthma management,1
1668,"it's very hard. it's very soothing, and-",asthma management,1
1669,"Very hard. Very hard. It's very relaxing, and-",asthma management,1
1670,"Very difficult. It is very relaxing,",asthma management,1
1671,"Very hard. It's perhaps very relaxing, and-",asthma management,1
1672,It's very hard. It's very relaxing and-,asthma management,1
1673,"""Very hard. It's very relaxing,"" he said.",asthma management,1
1674,Very hard. It's very relaxing and very relaxing.,asthma management,1
1675,"""Very hard. It is very relaxing, and-",asthma management,1
1676,"Hard. It's very relaxing, and very relaxing.",asthma management,1
1677,"Very hard. It's very chillaxing, and-",asthma management,1
1678,"we it it confirmed that, Uh, again, if you get to the point sometime down the road where you're willing to quit for both you and her, uh, we'd be glad to help you do that. Because you're right it is- it's not an easy thing to do.",asthma management,1
1679,"Uh again if you get to the point sometime down the road where you're willing to quit for both you and her, uh,",asthma management,1
1680,"well, if you're willing to quit for both of you, we'd be happy to help you. it's not easy to do.",asthma management,1
1681,"Uh, again, if you get to the point where you're willing to quit for both you and her, uh, we'd be glad to help. Because you are right it is- it is not an easy thing to do.",asthma management,1
1682,"Er, if you ever get to the point in the street where you're ready to stop, er, both for yourself and for them, we'd be happy to help you.",asthma management,1
1683,"Uh, again, if actually you In my opinion get to the I guess point sometime down the road where you're willing to quit for both possibly you and err her, err uh, we'd be err glad to help naturally you do that. Because you're I mean right it probably is- umm it's not an easy thing to do.",asthma management,1
1684,"I mean, if you get to the point sometime down the road where you're willing to quit for both you and her, we'd be glad to help you do that.",asthma management,1
1685,"""We'd be glad to help you get to the point sometime down the road where you're willing to quit for both you and her,"" he said.",asthma management,1
1686,"""We'd be glad to help you get to the point sometime down the road where you're willing to quit for both you and her.""",asthma management,1
1687,"""We'd be glad to help you do that,"" he said.",asthma management,1
1688,We'd be glad to help you do that.,asthma management,1
1689,"Uh, again, if you get to the point sometime down the frog and toad where you're willing to quit for both you and her, uh, we'd be glad to help you do that. Because you're right it is- it's not an putzy thang to do.",asthma management,1
1690,so it sounds like right now where we are if you're willing to have her use the chronic inhaler,asthma management,1
1691,you're willing to use her chronic inhaler-,asthma management,1
1692,"So it sounds like right now where we are, is you willing to- have her use the chronic inhaler-",asthma management,1
1693,So it sounds as if you are prepared to let them use the chronic inhalation.,asthma management,1
1694,"So it sounds perhaps like right now where actually we I guess are, is you're willing to-to have her use the chronic inhaler-",asthma management,1
1695,So it sounds like you're willing to-to have her use the chronic inhaler-,asthma management,1
1696,"Right now where we are, is you willing to-to have her use the chronic inhaler-",asthma management,1
1697,"Right now where we are, is you're willing to have her use the chronic inhaler-",asthma management,1
1698,"Right now where we are, is you willing to-to have her use the chronic inhaler?",asthma management,1
1699,Is there any way to have her use the chronic inhaler?,asthma management,1
1700,"I confirmed that, -to try to get the inflammation down, so she doesn't need to go to the emergency room and do whatever you can at this point to keep the smoke off your clothes. And i think you're gonna see big changes in terms of, uh, her not needing to go to the emergency room, and you probably won't need to use the rescue inhaler hardly at all.",asthma management,1
1701,to try to get the inflammation down so she doesn't need to go to the emergency room and do whatever you can at this point to keep the smoke,asthma management,1
1702,"-to try to get the inflammation down so she doesn't have to go to the hospital and do what you can to keep the smoke out of her clothes. you know, I think she'll be able to go to the emergency room, and you'll probably not need to use the rescue inhaler.",asthma management,1
1703,#NAME?,asthma management,1
1704,"- trying to get the inflammation under control so that she doesn't have to go to the emergency room and do everything you can to keep the smoke away from your clothes. And I think you're going to have big changes in terms of, er, they don't need to go to the emergency room, and you probably won't have to use the rescue inhaler much or not at all.",asthma management,1
1705,"-to try to actually get In my opinion the inflammation down, uhm so she doesn't need to go to the emergency room and do whatever you naturally can at this point to keep ahh the smoke off I feel your clothes. And uhm I think you're err gonna see I mean big changes in I mean terms of, uh, her not uhm needing to go to the emergency uhm room, and you probably I would say won't obviously need to probably use the rescue inhaler hardly ahh at all.",asthma management,1
1706,"-to try to get the inflammation down, so she doesn't need to go to the emergency room and do whatever you can at this point to keep the smoke off your clothes.",asthma management,1
1707,I think you're going to see big changes in terms of her not needing to go to the emergency room.,asthma management,1
1708,"-to try to get the inflammation down, so that she doesn't need to go to the emergency room at this point to keep the smoke off your clothes. And I think you're gonna see big changes in terms of, uh, her not needing to go into the ER, and you probably won't need the rescue inhaler at all.",asthma management,1
1709,"So you should try to get the inflammation down, so that she doesn't need to go to the emergency room and do whatever you can at this point to keep the smoke off her clothes.",asthma management,1
1710,She doesn't need to go to the emergency room to try to get the inflammation down.,asthma management,1
1711,"-to try to get the inflammation down, so she doesn't need to go to the emergency pad and do whatever you can at this point to keep the smoke off your clothes. And I think you're gonna see big changes in terms of, uh, her not needing to go to the emergency pad, and you probably won't need to use the rescue inhaler hardly at all.",asthma management,1
1712,"I your asthma we confirmed that, I understand that your asthma symptoms have been just really out of control. So, we need to look at some of the ways that you can get healthy and not be back here again.",asthma management,0
1713,i understand that your asthma symptoms have been just really out of control...so we need to look at some of the ways that you can get healthy,asthma management,0
1714,"I'm sure you have asthma symptoms. so, we're going to look at some of the ways you can be healthy and not be back.",asthma management,0
1715,"I understand that your asthma symptoms just really went out of control. So, here are some of the ways that you can get healthy and not be back here again.",asthma management,0
1716,"I understand that your asthma symptoms are simply out of control, so we need to look at some ways you can recover and not be back here.",asthma management,0
1717,"I understand that perhaps your asthma symptoms have umm been just really out of control. So, we I assume need to look at some of the ways that you can get healthy and err not be back uhm here again.",asthma management,0
1718,"I understand that your asthma symptoms have been out of control. So, we need to look at some of the ways that you can get healthy and not be back here again.",asthma management,0
1719,I understand that your asthma symptoms have been just really out of control. So we need to look at some of the ways that you can get healthy and not be back here again.,asthma management,0
1720,I understand your asthma symptoms have been out of control. So we need to look at some of the ways that you can get healthy and not be back here again.,asthma management,0
1721,"So, we need to look at some of the ways that you can get healthy and not be back here again.",asthma management,0
1722,"""I understand that your asthma symptoms have been just really out of control.""",asthma management,0
1723,"you I the confirmed that, Well, you sound a bit surprised by that. But I'm sure that you've seen some of the material that-that the clinic gave you about asthma symptoms and managing your asthma, and pets are a really big source of problems in that respect.",asthma management,0
1724,"Well, you sound a little surprised by that, but I'm sure you've seen some of the material that the clinic gave you about asthma",asthma management,0
1725,"you're a little surprised. I'm sure you've seen the material that-that the clinic gave you about asthma and asthma management, and pets are a big problem.",asthma management,0
1726,"Well, you sound a bit surprised. But I bet you have seen some of the material that-that the clinic has given you about asthma symptoms and managing your",asthma management,0
1727,"Well, you sound a little surprised, but I'm sure you've seen some of the material the clinic has given you about asthma symptoms and how to treat your asthma, and pets are a really big source of problems in that regard.",asthma management,0
1728,"Well, you sound In my opinion a bit I feel surprised actually by I feel that. I feel But ahh I'm sure that you've seen some of the material that-that the clinic I think gave you err about asthma symptoms like and managing possibly your asthma, and pets are a really big source of problems in that respect.",asthma management,0
1729,"But I'm sure that you've seen some of the material that the clinic gave to you about asthma symptoms and managing your asthma, and pets are a really big source of problems in that respect.",asthma management,0
1730,"But I'm sure that you've seen some of the material that the clinic gave you about asthma symptoms and managing your asthma, and pets are a big source of problems in that respect.",asthma management,0
1731,"But I'm sure that you've seen some of the material that the clinic gave to you about asthma symptoms and managing your asthma, and pets are a really big source of problems in that respect, I think.",asthma management,0
1732,"""I'm sure that you sound a bit surprised by that. But I'm sure you've seen some of the material that the clinic gave you about asthma symptoms and managing your asthma,"" he said.",asthma management,0
1733,"""I'm sure that you sound a bit surprised.""",asthma management,0
1734,"You confirmed that, Well, uh, wait a second, Sal, what do you mean you-you- ha- If you-- As in-- you know to be informed about-- I'm just really taken aback by that because I understand from your chart that you have a young baby-",asthma management,0
1735,well uh wait a second sal what do u mean u u ha if u as in u know to be informed,asthma management,0
1736,"wait a minute, Sal, what do you mean you-you- you- you- you- you- you- you- you- you- you- you- you- you- you- you- you- you- you- you- you",asthma management,0
1737,"Wait a second Sal, what do you mean you- you- ha- If you-- As in-- you- ha- I understand from your chart that",asthma management,0
1738,"Well, erm, wait a minute, Sal, what do you mean by you-ha- When you know you're being informed - I'm just surprised because I understand from your chart that you have a young baby?",asthma management,0
1739,"Well, uh, wait In my opinion a second, actually Sal, umm what do you mean you-you- ha- If you-- like As maybe in-- you know You know to be informed about-- I'm just really taken like aback by I feel that because I I mean understand from your err chart that I mean you have a I mean young baby-",asthma management,0
1740,"Well, I'm just really taken aback by that because I understand from your chart that you have a young child-",asthma management,0
1741,"Well, I'm just really taken aback by that because I understand that you have a young baby.",asthma management,0
1742,How can I know that you have a young baby?,asthma management,0
1743,How can I know if I have a young baby?,asthma management,0
1744,How can I know that I have a young baby?,asthma management,0
1745,"you've - you've confirmed that, -and you are very concerned about your health, you wanna be there for your baby and that you've already taken some steps, you've-you've almost quit smoking-",asthma management,0
1746,"-and you're very concerned about your health, you wanna be there for your baby and that you've already taken some steps, you",asthma management,0
1747,"you're very concerned about your health, you want to take care of your baby and you've almost stopped smoking.",asthma management,0
1748,"-and you are very concerned about your health, you wanna be there for your baby and that youve already taken some steps, you-",asthma management,0
1749,"- and you are very concerned about your health, you want to be there for your baby and that you have already taken some steps, you have almost given up smoking -",asthma management,0
1750,"-and you are perhaps very concerned about your I feel health, I would say you wanna be there for your baby and that you've already taken some err steps, you've-you've almost I mean quit smoking-",asthma management,0
1751,"-and you are very concerned about your health, you wanna be there for your baby and that you have already taken some steps, you've already quit smoking-",asthma management,0
1752,"You are very concerned about your health-and you wanna be there for your baby and that you've already taken some steps, you've quit smoking-",asthma management,0
1753,You are very concerned about your health-and you wanna be there for your baby and that you've already taken some steps to quit smoking-,asthma management,0
1754,You are very concerned about your health-and you wanna be there for your baby and that you've already taken some steps that have already quit smoking-,asthma management,0
1755,You are very concerned about your health-and you wanna be there for your baby and that you've already taken some steps that have already taken to quit smoking.,asthma management,0
1756,"-and you are very stuffed about your health, you wanna be there for your baby and that you've already taken some steps, you've-you've almost quit smoking-",asthma management,0
1757,"It It The the symptoms You you This It it I confirmed that, It's you that I'm worried about, Sal. It's you that I'm worried about, okay? The-the symptoms are worse. You've had two or three major asthma attacks. And-and do you appreciate how-- This is, uh, a risk to your life that there are some-some adults with severe asthma who actually can die as a result of their symptoms? It-it truly is something to take very, very seriously. I can't emphasize that enough.",asthma management,0
1758,"it's you that i'm worried about, sal. it's you that i'm worried about, ok? The-",asthma management,0
1759,"I'm worried about you, Sal. I'm worried about you, okay. the symptoms are worse. you had a couple of asthma attacks. and-and that's a risk to your life that there's a lot of adults with severe asthma who can die, and that's why they're dying. it's really something to take very seriously. I'm not gonna stress it enough.",asthma management,0
1760,"Its you that worries me, Sal. Its you that worries me, right. The- symptoms are worse. Youve had 2 or 3 major asthma attacks. And-and do you appreciate how--this is, uh, a risk to your life that some-some-some adults with severe asthma can die as a. It-it truly is something to take very, very seriously. Cant stress enough that this is a good thing.",asthma management,0
1761,"You're the one I'm worried about, Sal. You're the one I'm worried about, okay? The symptoms are worse. You've had two or three severe asthma attacks. And - and you know how - that's, er, a life risk that there are some adults with severe asthma who can actually die from their symptoms? It's really something that needs to be taken very, very seriously. I can't emphasize that enough.",asthma management,0
1762,"It's you that actually I'm umm worried about, Sal. It's you that I'm worried like about, okay? The-the symptoms are worse. naturally You've had two or three major ahh asthma attacks. And-and ahh do you appreciate possibly how-- This is, uh, a risk to your life that there are some-some adults I mean with severe asthma who actually maybe can die as a result of their symptoms? It-it I mean truly is something to take very, very seriously. I can't emphasize that enough.",asthma management,0
1763,"It's not you that I'm worried about, Sal. It's you, okay? The symptoms are worse. You've had two or three major asthma attacks. And do you appreciate how-- this is, uh, a risk to your life that there are some-some adults with severe asthma who actually can die as a result of their symptoms? It-it truly is something to take very seriously.",asthma management,0
1764,"It's not you that I'm worried about, Sal. It's you, okay? The symptoms are worse. You've had two or three major asthma attacks. And do you appreciate how-- this is, uh, a risk to your life that there are some-some adults with severe asthma who actually can die as a result of their symptoms?",asthma management,0
1765,"It's you I'm worried about, Sal. It's you that I'm concerned about, okay? The symptoms are worse. You've had two or three major asthma attacks. And do you appreciate how this is, uh, a risk to your life that there are some-some adults with severe asthma who actually can die as a result of their symptoms?",asthma management,0
1766,"It’s not you that I’m worried about, Sal. It's you, okay? The symptoms are worse. You’ve had two or three major asthma attacks.",asthma management,0
1767,"It's you I'm worried about, Sal. It's you that I am worried about.",asthma management,0
1768,"It's you that I'm worried about, Sal. It's you that I'm worried about, okay? The-the symptoms are worse. You've had two or three major asthma attacks. And-and do you appreciate how-- This is, uh, a punt to your life that there are some-some adults with severe asthma who actually can die as a result of their symptoms? It-it truly is something to take very, very seriously. I can't emphasize that nuff.",asthma management,0
1769,"you your You the the of medication You confirmed that, Sal, what, uh, do you understand that what happened 6 years ago or 10 years ago, your asthma is progressively getting worse. You know very well that the puffers, the strength of the medication is getting higher and higher, and there's only so much that can be done with medication alone. You know this.",asthma management,0
1770,"Sal, what, uh, do you understand that what happened 6 or 10 years ago, your asthma is progressively getting worse. You know very",asthma management,0
1771,"Sal, what, uh, you know what asthma is, it's gotten worse in the last six years. you know, the medication is stronger and stronger, and it's only a matter of time before the medication is used. you know, I'm thinking of this.",asthma management,0
1772,"Sal, what, uh, do you understand that what happened 6 years ago or 10 years ago, your asthma has gotten worse. You know very well that puffers, strength of medication, get higher and higher, and there is only so much that can be done with. This is what you know.",asthma management,0
1773,"Sal, what, er, do you understand that your asthma, what happened 6 or 10 years ago, is getting worse and worse? You know very well that the buffers, the strength of the medications are getting higher and higher, and there is only so much that can be done with medications alone. You know that.",asthma management,0
1774,"Sal, what, uh, obviously do you understand that what happened 6 years I feel ago probably or 10 years ago, your asthma is err progressively getting worse. err You I mean know very well that the puffers, the most likely strength of the medication I believe is getting higher and higher, and there's only so I mean much that can be done umm with medication alone. You know this.",asthma management,0
1775,"What does it mean that your asthma is progressively getting worse, and that you know very well that the strength of the medication is getting higher and higher, and there's only so much that can be done with medication alone.",asthma management,0
1776,"What does it mean that your asthma is progressively getting worse, and that you know very well that the strength of the medication is getting higher and higher, and there's only so much that can be done alone.",asthma management,0
1777,"Sal, what, uh, do you understand?",asthma management,0
1778,I know that your asthma is progressively getting worse.,asthma management,0
1779,"Sal, what do you know about your asthma?",asthma management,0
1780,"I I Is-- you confirmed that, Um, I noticed, uh, we noticed some of your records that, uh, you've been coming in and getting Sarah's resc-rescue inhaler for her asthma quite frequently, and you haven't got a chronic inhaler for quite some time now. I also know she has been in the emergency room several times this year. Is-- can you tell me what's going on there?",asthma management,0
1781,"um, i noticed, uh, we noticed some of your records that, uh, you've been coming in and getting Sarah",asthma management,0
1782,"well, I noticed, uh, you've been coming in and taking Sarah's asthma inhaler quite often, and you don't have a chronic inhaler. this year she was in the emergency room. can you tell me what's going on?",asthma management,0
1783,"We noticed some of your records that, uh, you came in and got Sarah's resc-rescuing inhaler for her asthma quite often. I also know she has been in emergency rooms multiple times this year. Is--can you tell me what is going on here?",asthma management,0
1784,"Um, I noticed, er, we noticed some of your records that you come in very often, erm, and you get Sarah's Resc Resc Resc inhaler for her asthma, and you haven't had a chronic inhaler for some time. I also know that she's been to the emergency room several times this year.",asthma management,0
1785,"Um, I noticed, actually uh, perhaps we noticed some of I guess your records that, uh, you've been coming in and getting Sarah's resc-rescue err inhaler for her actually asthma quite frequently, and you haven't got a chronic inhaler for quite some time now. I also know she has been In my opinion in the emergency room several times this year. Is-- can you tell me what's going on there?",asthma management,0
1786,Can you tell me what is going on there?,asthma management,0
1787,Can you tell me what is going on in the hospital?,asthma management,0
1788,How do you know that Sarah has been going to the emergency room for quite some time?,asthma management,0
1789,How do you know that Sarah is in the emergency room frequently?,asthma management,0
1790,Can you tell me what's going on there?,asthma management,0
1791,"Um, I noticed, uh, we noticed some of your records that, uh, you've been coming in and getting Sarah's resc-rescue inhaler for her asthma quite frequently, and you haven't got a chronic inhaler for quite some time now. I also know she has been in the emergency pad several times this year. Is-- can you tell me what's going on there?",asthma management,0
1792,"I I She the on clothes and the she confirmed that, Okay, I, you know, I-I don't want to argue with you about this. I-I know that if you-you know, and if you want to keep Sarah out of the emergency room, uh, I-I just wish you'd heed what I'm saying. She needs to use that chronic inhaler every day to get her- to get her asthma under control, and the smoke on your clothes and the smoking flares her asthma up. So she really needs to use that chronic inhaler, and you really need to think about quitting smoking.",asthma management,0
1793,ok i don't want to argue with you about this i know that if you u know and if you want to keep,asthma management,0
1794,"all right, I'm not gonna argue with you. I-I wish you would have listened to what I was saying, and if you wanted Sarah to stay in the hospital, I-I'd like you to listen to what I'm saying. she must use a chronic inhaler every day to control her asthma, and smoke in the air and smoke in the air. you really have to think about quitting smoking, so she really needs a chronic inhaler.",asthma management,0
1795,"Okay, I, you know, I-I'm not going to argue with you about this. I-I know that if you-you know, and if you want Sarah to stay away from the emergency room, uh, I-. Every day she needs to use that chronic inhaler to get her- to get her asthma under control, and the smoke on your clothes. So she really needs to use that chronic inhaler, and you really need to think about quitting smoking.",asthma management,0
1796,"Okay, I, you know, I-I don't want to argue with you about it. I-I know that if you-know, and if you want to keep Sarah out of the emergency room, erm, I-I just wish you would heed what I'm saying. She needs to use this chronic inhaler every day to get her asthma under control, and the smoke on your clothes and smoking ignite her asthma. So she really needs to use this chronic inhaler, and you really have to think about quitting smoking.",asthma management,0
1797,"Okay, I, you In my opinion know, I-I don't uhm want to argue with you about this. I-I know that if you-you know, and you know if you want to keep Sarah out of the emergency naturally room, uh, I-I just wish most likely you'd heed what I'm In my opinion saying. She needs to use that chronic inhaler every day to get her- to get her asthma under control, and the smoke on your probably clothes and the smoking flares I feel her umm asthma up. that is So she really needs to use that chronic inhaler, and you probably really need I feel to think about In my opinion quitting smoking.",asthma management,0
1798,"I don't want to argue with you about this. I-I know that if you-you know, and if you want to keep Sarah out of the emergency room, you need to heed what I'm saying.",asthma management,0
1799,"I don't want to argue with you about this. I-I know that if you want to keep Sarah out of the emergency room, you need to heed what I'm saying.",asthma management,0
1800,"I'm sorry, I, you know, I don't want to argue with you about this. I-I know that if you want to keep Sarah out of the emergency room, you should heed what I'm saying.",asthma management,0
1801,"""I don't want to argue with you about this. I-I know that if you want to keep Sarah out of the emergency room, you need to heed what I'm saying. She needs to use that chronic inhaler every day to get her asthma under control,"" he said. """,asthma management,0
1802,"""I don't want to argue with you about this,"" he said.",asthma management,0
1803,"Okay, I, you know, I-I don't want to argue with you about this. I-I know that if you-you know, and if you want to keep Sarah out of the emergency pad, uh, I-I just wish you'd heed what I'm saying. She needs to use that chronic inhaler every day to get her- to get her asthma under control, and the smoke on your clothes and the smoking flares her asthma up. So she really needs to use that chronic inhaler, and you really need to think about quitting smoking.",asthma management,0
1804,"I confirmed that, Okay, well, i-i hope you really listen to what i'm telling you about her using that chronic inhaler, and i hope you consider quitting smoking.",asthma management,0
1805,ok well i hope you really listen to what i'm telling you about her using that chronic inhaler and hope you consider quitting,asthma management,0
1806,"all right, I hope you're listening to what I'm telling you about her using a chronic inhaler, and I hope you're thinking about quitting smoking.",asthma management,0
1807,"Okay, well, I-I hope you really listen to what I'm telling you about her using that chronic inhaler, and quit",asthma management,0
1808,"Okay, well, I hope you're really listening to what I'm telling you about how she uses this chronic inhaler, and I hope you're considering quitting smoking.",asthma management,0
1809,"Okay, well, I-I perhaps hope you really listen actually to I guess what I'm telling you about her using that chronic inhaler, and I naturally hope you consider quitting smoking.",asthma management,0
1810,"I hope you listen to what I'm telling you about her using that chronic inhaler, and I hope you consider quitting smoking.",asthma management,0
1811,"""I-I hope you really listen to what I'm telling you about her using that chronic inhaler, and I hope you consider quitting smoking.""",asthma management,0
1812,"""I hope you really listen to what I'm telling you about her using that chronic inhaler, and I hope you consider quitting smoking.",asthma management,0
1813,"""I hope you really listen to what I'm telling you about her using that chronic inhaler, and I hope you consider quitting smoking,"" he said.",asthma management,0
1814,"""I hope you really listen to what I'm telling you about her using that chronic inhaler.""",asthma management,0
1815,"I your asthma we confirmed that, I understand that your asthma symptoms have been just really out of control. So, we need to look at some of the ways that you can get healthy and not be back here again.",asthma management,0
1816,i understand that your asthma symptoms have been just really out of control...so we need to look at some of the ways that you can get healthy,asthma management,0
1817,"I'm sure you have asthma symptoms. so, we're going to look at some of the ways you can be healthy and not be back.",asthma management,0
1818,"I understand that your asthma symptoms just really went out of control. So, here are some of the ways that you can get healthy and not be back here again.",asthma management,0
1819,"I understand that your asthma symptoms are simply out of control, so we need to look at some ways you can recover and not be back here.",asthma management,0
1820,"I understand that perhaps your asthma symptoms have umm been just really out of control. So, we I assume need to look at some of the ways that you can get healthy and err not be back uhm here again.",asthma management,0
1821,"I understand that your asthma symptoms have been out of control. So, we need to look at some of the ways that you can get healthy and not be back here again.",asthma management,0
1822,I understand that your asthma symptoms have been just really out of control. So we need to look at some of the ways that you can get healthy and not be back here again.,asthma management,0
1823,I understand your asthma symptoms have been out of control. So we need to look at some of the ways that you can get healthy and not be back here again.,asthma management,0
1824,"So, we need to look at some of the ways that you can get healthy and not be back here again.",asthma management,0
1825,"""I understand that your asthma symptoms have been just really out of control.""",asthma management,0
1826,"you I the confirmed that, Well, you sound a bit surprised by that. But I'm sure that you've seen some of the material that-that the clinic gave you about asthma symptoms and managing your asthma, and pets are a really big source of problems in that respect.",asthma management,0
1827,"Well, you sound a little surprised by that, but I'm sure you've seen some of the material that the clinic gave you about asthma",asthma management,0
1828,"you're a little surprised. I'm sure you've seen the material that-that the clinic gave you about asthma and asthma management, and pets are a big problem.",asthma management,0
1829,"Well, you sound a bit surprised. But I bet you have seen some of the material that-that the clinic has given you about asthma symptoms and managing your",asthma management,0
1830,"Well, you sound a little surprised, but I'm sure you've seen some of the material the clinic has given you about asthma symptoms and how to treat your asthma, and pets are a really big source of problems in that regard.",asthma management,0
1831,"Well, you sound In my opinion a bit I feel surprised actually by I feel that. I feel But ahh I'm sure that you've seen some of the material that-that the clinic I think gave you err about asthma symptoms like and managing possibly your asthma, and pets are a really big source of problems in that respect.",asthma management,0
1832,"But I'm sure that you've seen some of the material that the clinic gave to you about asthma symptoms and managing your asthma, and pets are a really big source of problems in that respect.",asthma management,0
1833,"But I'm sure that you've seen some of the material that the clinic gave you about asthma symptoms and managing your asthma, and pets are a big source of problems in that respect.",asthma management,0
1834,"But I'm sure that you've seen some of the material that the clinic gave to you about asthma symptoms and managing your asthma, and pets are a really big source of problems in that respect, I think.",asthma management,0
1835,"""I'm sure that you sound a bit surprised by that. But I'm sure you've seen some of the material that the clinic gave you about asthma symptoms and managing your asthma,"" he said.",asthma management,0
1836,"""I'm sure that you sound a bit surprised.""",asthma management,0
