Sr. No,utterance_text,mi_quality,topic
1038,"And if you arrange to meet somebody there, you're very good at, uh, you know, uh, keeping the agreement.",1,more exercise / increasing activity
1039,"And in for right now it just be, you'll be happy with getting there one time.",1,more exercise / increasing activity
1040,And days that you know of on your less rigorous schedule that you're more likely to succeed [unintelligible 00:07:40] I really like how you're picking like three days a week instead of some days a week.,1,more exercise / increasing activity
1041,Very clear you understand the whole idea of giving yourself a day off in between.,1,more exercise / increasing activity
1042,"Okay, yeah, I know that, yeah, yeah. Okay, so. So, um, so are you sure you wanna try to start out with the- that initial [unintelligible 00:08:07]",1,more exercise / increasing activity
1043,"So, what you told me earlier was that you've got into a car with someone you knew had smoked marijuana earlier. What were you thinking?",0,not getting into a car with someone who is under the influence of drugs or alcohol
1044,"Science fair project or not, don't you know what happens when someone drives under the influence of marijuana or alcohol? It's bad. They can wreck the car, you can lose your life. I thought you were smart, you're taking AP classes, you wanna get into a Ivy League school. This is not the way you do that.",0,not getting into a car with someone who is under the influence of drugs or alcohol
1045,"It's a big deal. You can't drink either. You're 16. The drinking age is 21. I think you know that. You could get into an auto crash. Uh, I just wanted you to hear this. I don't' tolerate it as a doctor drinking or driving with somebody who's under the influence, and if you do it again, I'm gonna tell your parents.",0,not getting into a car with someone who is under the influence of drugs or alcohol
1046,"That's very common. I mean, you go where you know, um, no one's gonna look down on you.",1,smoking cessation 
1047,And now a total stranger will give you a cigarette-,1,smoking cessation 
1048,"-whereas like, you can't go up to him and say, ""Hey, can I have some of your McDonald's French fries,"" and take them out—",1,smoking cessation 
1049,"Right, yeah, but with cigarettes, there is a sharing. You don't see that with any other drugs?",1,smoking cessation 
1050,"You can't, no, not one of mine. So, um when are you thinking you might want to do this?",1,smoking cessation 
1051,"Okay. Yeah, no, all those things are good. I mean, I think you know, the will- picking a quit date has been found to be really effective. And, um, uh, I know you had talked earlier and then we'll end in just a couple minutes, but about, you know, like, the willingness or the readiness and most-- a lot of people, a lot of my clients have shared with me that when they woke up that morning, they truly had no idea that was going to be their last cigarette.",1,smoking cessation 
1052,"No. Or- or some of them didn't have an exact date, but m-more importantly, was they-they just didn't know that was the day.",1,smoking cessation 
1053,"Right, right. It's just like you-you-you-- Some people pick a quit date, like January 1st is still the most popular quit date—",1,smoking cessation 
1054,There's a smoke update coming up.,1,smoking cessation 
1055,"Actually, you would be amazed how many people do it.",1,smoking cessation 
1056,"Yeah, yeah, they really do, and smokers. Yeah, and drinkers, they do, yes. Yeah.",1,smoking cessation 
1057,"So, for you, it's your, you know, it sounds like you really want to be prepared.",1,smoking cessation 
1058,"And yet, on some level, you know, that it's gonna be a lot of hard work for you because of, you know, you've already known how anxious you get about a stash-",1,smoking cessation 
1059,"So if you have a stash Nicorette gum if you decide to use it, I mean, you'd have to have other stashes, you know.",1,smoking cessation 
1060,"Yeah. So, so if-if your doctor says it's okay with the Wellbutrin, one-- uh, we see very little if any weight gain-",1,smoking cessation 
1061,"Yeah. And, um, the same with the Nicorette gum, because it- nicotine is an appetite suppressant.",1,smoking cessation 
1062,"If you will. And that's if you decide you want to try a replacement therapy and that's what we call it and it-it kind of sounds from what you've described with your fear about you know, what it would be like of the withdrawal and everything like that. W-why you don't have to do it that way, you don't have to go cold-cold turkey.",1,smoking cessation 
1063,"So, we'll do that so we'll-we'll talk about the hypnosis a little bit more, you know, you'll talk to your doc. Um, you'll do your research, you know, about programs and stuff, I'll give you any information I have and we'll take it from there. But it's sounding like the quit date might be coming up fairly-- like within the next two, three months.",1,smoking cessation 
1064,"I, uh, mean that's up to you.",1,smoking cessation 
1065,Yeah. Is it appealing the thought of quitting with a group at the same time?,1,smoking cessation 
1066,"Okay. So, that really sounds like something we can do.",1,smoking cessation 
1067,"So, that would be can- the Cancer Society. So, we can look into that.",1,smoking cessation 
1068,"All right. Well, I appreciate you coming in. We'll set up another appointment and, um, get our resources together. We'll take it from there and—",1,smoking cessation 
1069,"Oh, you're welcome. My pleasure, thank you.",1,smoking cessation 
1070,"Hi Mrs. Smith, my name is Terri, I'm one of the nurses who works with Dr. Fields.",1,increasing activity; taking medicine / following medical procedure
1071,"Yes, I think when you were in last time.",1,increasing activity; taking medicine / following medical procedure
1072,"And I know that, uh, Dr. Fields talked with you last time about maybe trying a tai chi class to see how that would go, and I wanted to-to check in with you and see how tai chi went.",1,increasing activity; taking medicine / following medical procedure
1073,"Uh-huh. So, you thought it was beautiful and you liked the instructor, but you were a little self-conscious because you were in a chair?",1,increasing activity; taking medicine / following medical procedure
1074,"What were you hoping to achieve with the, um, by going to tai chi?",1,increasing activity; taking medicine / following medical procedure
1075,"Uh-huh. So, you're hoping that it would help with balance, but you didn't see the- maybe the results you were looking for?",1,increasing activity; taking medicine / following medical procedure
1076,Uh-huh. What is your overall goal? What are you working towards?,1,increasing activity; taking medicine / following medical procedure
1077,"Mm-hmm, and what is it that's important to you about getting home?",1,increasing activity; taking medicine / following medical procedure
1078,"Uh-huh. So, you're wanting to get home to your dog, your garden, back to your life, your independence?",1,increasing activity; taking medicine / following medical procedure
1079,What do you think you need to do in order to be able to achieve that goal of getting home?,1,increasing activity; taking medicine / following medical procedure
1080,And do you agree that that's what you need to do in order to be able to get home?,1,increasing activity; taking medicine / following medical procedure
1081,"Uh-huh, and tell me how your physical therapy is going?",1,increasing activity; taking medicine / following medical procedure
1082,"So, it sounds like, um, you can see that you're making some progress in physical therapy-",1,increasing activity; taking medicine / following medical procedure
1083,#NAME?,1,increasing activity; taking medicine / following medical procedure
1084,"And so, are you wanting to go back to tai chi?",1,increasing activity; taking medicine / following medical procedure
1085,"Uh-huh. I think it's important, um, that you know that you're the one who has to make the decision about whether or not tai chi works for you.",1,increasing activity; taking medicine / following medical procedure
1086,"So, you haven't seen the results that you want yet-",1,increasing activity; taking medicine / following medical procedure
1087,-but because Dr. Fields has recommended it and your friend has-,1,increasing activity; taking medicine / following medical procedure
1088,-and it sounds like you like the instructor-,1,increasing activity; taking medicine / following medical procedure
1089,"So, what has to happen in order for you to get to tai chi again?",1,increasing activity; taking medicine / following medical procedure
1090,"Uh-huh. So, how confident are you on a scale of 1 to 10 with one being not at all confident and 10 being very confident that you can make the arrangements in order to get to tai chi.",1,increasing activity; taking medicine / following medical procedure
1091,"So, in order for you to feel more confident, you would like some help in making those arrangements?",1,increasing activity; taking medicine / following medical procedure
1092,And is that something that your daughter can do for you?,1,increasing activity; taking medicine / following medical procedure
1093,"Okay. Um, so is that something that you'd like us to help you with?",1,increasing activity; taking medicine / following medical procedure
1094,Sure we can make those arrangements with the rehab center. They have a van-,1,increasing activity; taking medicine / following medical procedure
1095,-and-and they've done this for other patients so we can certainly make those arrangements if you'd like.,1,increasing activity; taking medicine / following medical procedure
1096,"Okay. So, are there any other barriers or obstacles in the way to you getting to tai chi?",1,increasing activity; taking medicine / following medical procedure
1097,"Well, it sounds like you can see that you're making some progress in your physical therapy.",1,increasing activity; taking medicine / following medical procedure
1098,"And that you're wanting to give tai chi another chance, and that if we can help make arrangements for you to get there with the van to the rehab center, that you'll give it another chance.",1,increasing activity; taking medicine / following medical procedure
1099,"Well, um, before you leave today, we'll go ahead and, um, I'll call the rehab center and make those arrangements.",1,increasing activity; taking medicine / following medical procedure
1100,"Well, thank you very much for coming in today Mrs. Smith and I look forward to hearing about the progress that you're making.",1,increasing activity; taking medicine / following medical procedure
1101,Good. Why don't you fill me in on what's been going on since I saw you last?,1,completion of community service
1102,"So she talked to you a little bit about it, but it sounds like you're kind of unsure exactly the details.",1,completion of community service
1103,Okay. So why don't you tell me what you remember from having your conversation with your case manager? What do you know so far about community service?,1,completion of community service
1104,"Okay, gotcha. So, you know, that it needs to get done-",1,completion of community service
1105,"Yes.-you know, you have till the end of your probation-",1,completion of community service
1106,-but you're a little fuzzy on the details.,1,completion of community service
1107,"Okay. Um, so maybe if it's okay with you, I can share with you some of, um, the requirements, maybe go over the details a little bit more.",1,completion of community service
1108,"Okay, great. Um, so with your community service I know you've got 25 hours left to do, um, so that does need to get done by the end of your probation, and your case manager is a really great resource to help you find a place where you can do it. So I know in the past some clients have done their community service at food pantries or shelters, or anywhere in the community that's not, you know, a family member or a friend. Um, the urban ecology center is a really great place. You can kind of work outside, work with younger kids. Do any of those options seem like a fit that you might be interested in?",1,completion of community service
1109,So that's something that you can work with your case manager on.,1,completion of community service
1110,"So, um, that's something you can absolutely ask her or quest- or me some questions about, but they'll be able to come and bring you some options-",1,completion of community service
1111,#NAME?,1,completion of community service
1112,"And that is something that we'd kinda like to see you do on your own, but if you're really feeling like you're struggling, those are phone calls that either you and I can make together or you and your case manager can make together.",1,completion of community service
1113,"Well, I mean, 24 hours in a weekend sounds to me like it might be a lot of time.",1,completion of community service
1114,I can- I can hear that you are really eager to just get it finished-,1,completion of community service
1115,"-and get it out of the way. Maybe I know in the past it's been helpful for some other clients to sit down and take a calendar and just mark out, okay, I'm gonna do five hours this day, I'm gonna do three hours this day, two hours of this day. Does that sound like something that might be helpful for you?",1,completion of community service
1116,What other questions do you have for me about community service?,1,completion of community service
1117,"So Tom, this infection is been pretty painful for you but we have antibiotics. If you take it faithfully for 10 days, I'm sure that your infection will be gone. Can you do that?",1,reducing drug use
1118,"And, uh, um, you do this how often?",1,reducing drug use
1119,So you're an occasional meth user. You don't use very often?,1,reducing drug use
1120,"Well, as I think you know, Methamphetamine use is associated with some health risks. And the amount that you're using it-it puts you in a category that we consider a risky user. And that contrasts with someone who it says addicted, um, someone who's a heavy user but it's not in a healthy category because people who use Methamphetamine tend to run to a number of consequences. And actually one of them is, um, sexually transmitted diseases. Do you suppose that your STD might be associated with your Methamphetamine use?",1,reducing drug use
1121,Anything else happening with Methamphetamine in your life? Is it affecting you in any way?,1,reducing drug use
1122,"Yeah, you know, I'm concerned bout it too and I'd actually recommend that you stop using Methamphetamine altogether. And, um, there-there are a lot of reasons for this but that's-that's would be my recommendation.",1,reducing drug use
1123,"Well, if you were to, um, consider how ready you are to stop using Methamphetamine completely-",1,reducing drug use
1124,-with zero being not ready at all-,1,reducing drug use
1125,"-and 10 being ready, where would you put yourself?",1,reducing drug use
1126,Why not a one or a two?,1,reducing drug use
1127,Are there any other concerns that you have about Methamphetamine?,1,reducing drug use
1128,"Mm, so when I was first talking to you, I thought that you'd have a very, um, really not much interest in not stoping using Methamphetamine but it sounds like you have a number of reasons why you really would like to stop using Methamphetamine. And that is, um, that it might be cut with something else, um, you could get another ST- STD including HIV.",1,reducing drug use
1129,"Um, what do you think would make it easier for you to cut down or quit using Methamphetamine?",1,reducing drug use
1130,Is there anyone in your life who doesn't use methamphetamine?,1,reducing drug use
1131,Does she-- Have you talked to her about your meth use?,1,reducing drug use
1132,"So on the one hand, it would be difficult to quit using Methamphetamine because there are so many positives that you get from using it. But on the other, there are reasons why you want to quit using methamphetamine.",1,reducing drug use
1133,And there's some things that you might be able to do that would make it easier to not use methamphetamine including talking to your sister and getting some support.,1,reducing drug use
1134,"Well, great. I recommend that you not use Methamphetamine at all but what you do is up to you.",1,reducing drug use
1135,"Mm. Okay. Alright. Well, um, I know a little about why you're here today-",1,reducing drug use
1136,"-um, but it's great to see you, and so maybe a good point to start with is, tell me why you're here.",1,reducing drug use
1137,And that's led you to being here today?,1,reducing drug use
1138,"Right. So it sounds like you thought there was something that, uh, that you needed to look at, something that was concerning you?",1,reducing drug use
1139,You're not sure that applies to you?,1,reducing drug use
1140,"I'm trying to understand you so far, something's concerning you and something's concerning your friends-",1,reducing drug use
1141,-but you're not sure whether it's- whether-- just how bad it is or- and you're just wanting to check that out?,1,reducing drug use
1142,"Because they care about you and-and you respect what they say, and you're wondering whether something about what they're saying may be right, but let's check that out a bit?",1,reducing drug use
1143,"Well, let's do some checking out.",1,reducing drug use
1144,"So tell me a little bit about what you're doing, what is- what is the concern that they are raising.",1,reducing drug use
1145,"Tell me a little bit about what now and again means, and-and-and how often.",1,reducing drug use
1146,"Is this- is this with, uh, with the drug?",1,reducing drug use
1147,This is meth you're talking about? A couple of times a week?,1,reducing drug use
1148,"Well, maybe, we c-- we can check that out to see whether-whether it's a lot or-- But maybe also importantly to-to discuss with you what the effects are and-and-and what your concerns are about it. But help me to understand a little bit more of what it's like for you. Tell me- tell me what are the things about your, uh, use of meth that you- that you've liked that you found good for you?",1,reducing drug use
1149,"So Auckland, coming to Auckland from Palmerston for you was-was like taking charge of something that you were going to look to make something different in your life?",1,reducing drug use
1150,Which you weren't aware of in Palmerston?,1,reducing drug use
1151,It sounds like you're ready to move up to something that was different.,1,reducing drug use
1152,And how does that feel for you now?,1,reducing drug use
1153,"So coming out, feeling-- being gay-",1,reducing drug use
1154,"-being part of a gay culture here in Auckland, is feeling good-",1,reducing drug use
1155,"And at the same time, it's-it's linked closely with the- with the drug scene with the meth scene for you?",1,reducing drug use
1156,And you're not experiencing where these two things are separate? They just seem to be together more often than not?,1,reducing drug use
1157,It just sounds like something's worrying you about that there's-there's a part link there but there's not a link and that-that maybe that the drugs is-is becoming a more important part in your life.,1,reducing drug use
1158,Tell me about those things you're noticing that you hadn't noticed before.,1,reducing drug use
1159,"So you're worried a little bit about it and you're going to find out more about it, but you're-you're not gonna take on this notion of being a headache or anything as yet—",1,reducing drug use
1160,"So tell me then, um, Ricky, what- what's the other side of the good things that-that using meth or doing some smoking does for you? Is there a downside to it? Are there problems that you're experiencing?",1,reducing drug use
1161,Quite a lot's changed over the last year from—,1,reducing drug use
1162,Sure. [chuckling] It's not a secure profession-,1,reducing drug use
1163,"-it's hard. But is-is there, I just wonder, is there a connection at all between the-the-the-the acting and the meth use in terms of the effect of the meth use on your- on your ability to get work?",1,reducing drug use
1164,The drug may have had an effect on that?,1,reducing drug use
1165,Right. And they got questions too-,1,reducing drug use
1166,You're beginning to-to think about those things and-and-and what effect they may have on you.,1,reducing drug use
1167,"What else? Are the-the-the-the problem of around the use of money, you know, the choices that you make around money, and the meth use has taken up quite a lot of the money-",1,reducing drug use
1168,"-over the last year and maybe also the effect on-on um, your job and being able-- maybe you're not auditioning as well as you might.",1,reducing drug use
1169,"Hmm. But Ricky, let me just check, 'cause I may got this wrong, just check with you that um, there are some friends that you've got who do use who are still concerned about you. Did I get that right from what you said earlier that-that those who are concerned about you and were part of this intervention some of them use.",1,reducing drug use
1170,And you-- So they have their concerns and-and you are beginning to-to ask questions of this use as well and-,1,reducing drug use
1171,-it's just that that we're gonna try and drill down a little more into just to pick up for you what-what you think might be going on and what you think might be some of the options for you.,1,reducing drug use
1172,"And we're g- we're gonna leave labels all that kind of stuff aside 'cause, you know, I'm picking up from you that that's not what that's about.",1,reducing drug use
1173,"I'm happy with that. What do you think will happen, what might happen if you can turn your-your uses- you're on now? What-what concerns do you have about not making any kind of change?",1,reducing drug use
1174,This is gonna be your career. This is the career-,1,reducing drug use
1175,"Mm-hmm. It's harder when you're trying to create your career, get that going. You gotta- you gotta be at your- at your top, top pitch.",1,reducing drug use
1176,"Yeah, and-and maybe the meth use is-is compromising that.",1,reducing drug use
1177,"Alright, so it's back to the money thing again which is-",1,reducing drug use
1178,"Let's just come back to another thing, uh, that we were talking about a little bit earlier, and it's around your meth use as well and-and-and with your gay friends, with gay lifestyle. And-and that sounds like you're saying that-that-that when you party, when you go into the clubs, when you're being with friends that the meth use is always there?",1,reducing drug use
1179,The-the availability of it is there.,1,reducing drug use
1180,"And everyone, most people are using.",1,reducing drug use
1181,And it might be hard to be part of that scene and not to be using drugs?,1,reducing drug use
1182,So there is a possibility that there are other parts of the scene that don't rely on drug use-,1,reducing drug use
1183,"So that might be something that we can look at but later if you're interested in is maybe what are some of those other parts of the gay scene, whose still party and party medley, but when meth is not a- is not a dominant-",1,reducing drug use
1184,"-factor in that partying, and we- where-where there are, uh, uh, uh, gay groups that support people who-who are not wanting to be-- they have a lifestyle that is heavily weighted to drug use. So there are some options there to look at some other ideas if you're interested and we might look at that, for you to think about-",1,reducing drug use
1185,"-to consider, so it's not about giving up anything, it's not about huge major changes, it's about how can I improve the situation.",1,reducing drug use
1186,It's what I'm hearing you saying bring-- be a little bit more in control of what's-what's going on for me.,1,reducing drug use
1187,So that I can pursue that plan.,1,reducing drug use
1188,What could be a- what could be a first step towards that?,1,reducing drug use
1189,"So that needs some thinking about, doesn't it?",1,reducing drug use
1190,"Yeah. Yeah. And there are things that have gotta work for you, so that-",1,reducing drug use
1191,"-that's your ideas on there which are really important. But again there are some options, that if you wanted to look at, you know, just to at least be able to know what they are.",1,reducing drug use
1192,Because there are clubs and there are groups and there are all kinds of things that meet through the week.,1,reducing drug use
1193,"And so, though they're not going to be necessarily like the party scene, they are other activities. Now I'm talking about gay groups and gay activities which are an option that-",1,reducing drug use
1194,"-you know, good to know about and-and-and maybe in-- within those options or something you might say, ""Oh yeah, I'd give that a go. Have a look.""",1,reducing drug use
1195,Okay. So right now you're seeing that it's a part of your life. It's been a part of your life off and on for 18 years.,1,smoking cessation
1196,It's become a more important part of your life because you found yourself smoking at times that you thought I'll never smoke then.,1,smoking cessation
1197,"Yeah. And your worry is that if you stop, you will end up gaining weight. So I'm hearing this kind of list of things that don't feel so positive about stopping.",1,smoking cessation
1198,I'm wondering what else might be on that list.,1,smoking cessation
1199,Mm-hmm. Okay. Yeah. So added to the other list is the having to go through the withdrawal-,1,smoking cessation
1200,#NAME?,1,smoking cessation
1201,How are you doing today? I'm Bruce Berger.,1,diabetes management
1202,"I, uh, I'm a case manager with your health plan. I understand that you came in today to talk about your diabetes.",1,diabetes management
1203,"So you just- you just saw the doctor and, uh, you know, you sound like you just got blindsided, uh, with, uh, not only how, how frightening this seems that you have diabetes and that, uh, she-- you say she told you a whole lot of things that can happen with your eyes and circulation and all those kinds of things.",1,diabetes management
1204,"And so you're really kind of reeling right now from, uh, all of that. And you sound a little bit pretty, pretty scared actually.",1,diabetes management
1205,"So it sounds a lot like, uh, on top of the fact that you've got something you're really scared about having consequences in terms of everything that can happen, what worries you also is all the different things that she told you you're going to need to do to get it under control. Can't imagine doing all those things, so you almost feel like all that bad stuff's gonna happen.",1,diabetes management
1206,"Okay. And I-- And what I want to do is help you kind of break this up into some-some doable chunks so that we can get your blood sugar down. I, you know, on the one hand, your doctor is right, you know. Your blood sugar is very high and we do wanna get it down so that we don't have those consequences happen. Uh, and-and there are a number of things that you need to do in order to-to get your blood sugar down. Um, you know, on the other hand, we can take this a step at a time, so it's not so overwhelming.",1,diabetes management
1207,"Yeah. 'Cause it looks like you need to just take your medicine, uh, uh, once a day from-from the prescription. So that sounds doable right now.",1,diabetes management
1208,"Okay. The other things that need to be worked on over time certainly would be changing your eating habits, you know, to eat- eat healthier, uh, not necessarily less, but healthier. And the other thing would be getting, um, some more physical activity. And by the way, that doesn't mean going to a gym. That means things like more walking, maybe using stairs instead of an elevator or an escalator, stuff like that. Uh.",1,diabetes management
1209,Yeah. And that really is to give you feedback about how those other things are doing so that it keeps you on task.,1,diabetes management
1210,"So it helps you know that when you're taking your medicine, when you're changing your eating habits, that it's really having an impact on your blood sugar 'cause getting your blood sugar down is going to keep you from having all of those other problems. How does all this-- where does this leave you now right now in terms of how you're feeling?",1,diabetes management
1211,It sounds like you're very committed to that.,1,diabetes management
1212,Is it okay if we go over the form you had filled out? We give this out to everybody who comes in.,1,smoking cessation
1213,"All right. So here, it looks like you wrote that you drank alcohol on a few occasions in the last year, and you have used marijuana more often, 30 days in last year.",1,smoking cessation
1214,"Okay. When students and I talk about their substance use, the first thing I always say, I don't like to tell anyone what to do. That's not my job. Instead, I like to see if there's anything they would like to do, if anything, about their use. So what can you tell me about your marijuana use?",1,smoking cessation
1215,Do you vape anything else besides marijuana?,1,smoking cessation
1216,"We know marijuana has effects on the developing brain. For example, it can make it harder for you to concentrate, it can make it harder for you to remember things, and vaping can seriously hurt your lungs. About one in six people who begin using marijuana as a teenager, later on, become addicted. So what do you think about all this information that I've shared?",1,smoking cessation
1217,How do you think it affects you?,1,smoking cessation
1218,How could you get in trouble at school?,1,smoking cessation
1219,"So when you think about these things, are there any things you would like to change about your marijuana use?",1,smoking cessation
1220,What would be the benefits of that?,1,smoking cessation
1221,Marijuana affects how well you play. What would be the other benefits for you?,1,smoking cessation
1222,"Okay. If I asked you to pick a number, 0 through 10, 0 meaning you're not very confident at all in meeting your goal, or 10 meaning you're very confident, what number would you pick?",1,smoking cessation
1223,How about this question? What might happen within a month that might make you want to vape?,1,smoking cessation
1224,What else could you do instead of vaping when you feel that way?,1,smoking cessation
1225,Playing basketball and playing video games are a way to feel better.,1,smoking cessation
1226,"Well, I'm glad to hear that you have a goal of quitting for a month and you are confident of reaching that goal. If you're willing to come back in a month or so, I would be curious to hear how your plan works out.",1,smoking cessation
1227,"Well, Good luck with basketball practice. If you want anything or need to talk about something before our next appointment, I'm here Monday through Thursday, and it's always good to see you.",1,smoking cessation
1228,"Hi, Andrea, thanks for coming in.",1,reducing alcohol consumption
1229,So I don't know how much you know already about sort of my role here and why you're even here. So I thought I'd start by telling you a little bit about myself.,1,reducing alcohol consumption
1230,"Basically, my job is to meet with all of the students. I meet with everybody about once or twice a semester and just talk with you a little bit about how things are going, different behaviors that you might be engaging in, and thinking about any changes you might wanna make for your life if you decide that you do. It's not my job to change you. I couldn't even if I wanted to. That's not my role at all. It's really to help you think about, you know, how things are going for you and how you might like making changes or moving forward.",1,reducing alcohol consumption
1231,All right. So why don't we start by you telling me a little bit about yourself?,1,reducing alcohol consumption
1232,Wow. You really are involved in music.,1,reducing alcohol consumption
1233,"Very cool. I've always wanted to be good at music. [laughter] All right. So it sounds like you're in band and a-a few other musical ensembles, any other hobbies you have or things you like to do for fun?",1,reducing alcohol consumption
1234,Just kind of everyday sort of stuff?,1,reducing alcohol consumption
1235,Okay. Tell me a little bit about your family.,1,reducing alcohol consumption
1236,[laughs] Very fun. All right. And how are things going in school for you?,1,reducing alcohol consumption
1237,"Okay, great, so you're doing well. What sorts of goals do you have for after college- oh, after high school?",1,reducing alcohol consumption
1238,That's great. That's really exciting to think about that-,1,reducing alcohol consumption
1239,"-and sort of be looking forward to the future and those things. All right. Well, one thing I'm going to ask you about is, um, you know, different people have sort of different things that they really value in their life. Whether it's, you know, their cultural identity or their family or their friends or job or hobbies, things like that. So here's the little sheet that goes through just some basic values that, um, might be more or less important to certain people.",1,reducing alcohol consumption
1240,"Like belonging or sense of community. Again, cultural identity or family, friendship, modesty, religion, respect, self-determination and spirituality. So, when you think about yourself, which of these are kind of most important to you in terms of your life?",1,reducing alcohol consumption
1241,"Respect, okay. Can you tell me a little bit about why you picked those three?",1,reducing alcohol consumption
1242,"Okay, great. So sort of being a part of a group and being a part of a team gives you a sense of, um, uh, belonging, like you said.",1,reducing alcohol consumption
1243,And sort of a-a sense of purpose in a way.,1,reducing alcohol consumption
1244,And then the respect is really sort of all-encompassing.,1,reducing alcohol consumption
1245,"Not just authority, but respecting yourself, respecting your teammates or your bandmates and other people around you. Okay, that's great.",1,reducing alcohol consumption
1246,"All right. Well, um, one of the things I wanted to talk to you about sort of relates to belonging and your friends. So what kinds of things do you like to do when you get together with your friends?",1,reducing alcohol consumption
1247,"Mm-hmm, and when you're hanging out with friends, is there ever alcohol involved?",1,reducing alcohol consumption
1248,Okay. Can you tell me a little bit about how alcohol fits into sort of your social scene?,1,reducing alcohol consumption
1249,"Mm-hmm, mm-hmm. And so when you go to parties, most of the time there's alcohol there?",1,reducing alcohol consumption
1250,Okay. And how often do you think you would say you're drinking?,1,reducing alcohol consumption
1251,Mm-hmm. So about half the time you're drinking and half the time you're not. Can you tell me what's different about the days when you choose to drink versus not to drink?,1,reducing alcohol consumption
1252,"So it really depends on what the activity is, whether or not alcohol is gonna be there?",1,reducing alcohol consumption
1253,Okay. And do you notice a big difference or can you tell me about the difference in your enjoyment level at say a party versus a night you're playing board games?,1,reducing alcohol consumption
1254,Okay. So there's sort of pros and cons on both sides?,1,reducing alcohol consumption
1255,Okay. What are the things that you like about drinking or like about alcohol?,1,reducing alcohol consumption
1256,"Okay. So sort of in the-the too much drinking or-or at times, can you tell me some of the less good things or not so good things about alcohol?",1,reducing alcohol consumption
1257,"You're trying to stay put, you're not driving. You're trying to stay with people that you trust. Um, but yet it sounds like there's still some-some things happening from time to time.",1,reducing alcohol consumption
1258,Can you tell me a little bit about that?,1,reducing alcohol consumption
1259,And how often do you think that happens?,1,reducing alcohol consumption
1260,"-because you have to make sure that you're doing it safely or as safe as you can. And then, um, there can be some other consequences like throwing up or even if it's not you, that sometimes you're stuck your-your fun is sort of ruined when you're stuck dealing with a friend who drunk too much. Okay. And the other not so good things about the alcohol?",1,reducing alcohol consumption
1261,So you're kind of stuck being exposed to things you don't need to see.,1,reducing alcohol consumption
1262,"Got it. Okay. Um, all right. Well, you mentioned a couple of times that you've made a few decisions to try and limit the dangerous aspect of the drinking. Why did you make those decisions?",1,reducing alcohol consumption
1263,"On the one hand, you- the drinking maybe helps with the belonging community to start.",1,reducing alcohol consumption
1264,"Right. And then with the respect, one of the things you mentioned, is really wanting to respect yourself and not sort of cross boundaries, not sort of cross lines.",1,reducing alcohol consumption
1265,"Um, how do you think that the drinking fits in with that?",1,reducing alcohol consumption
1266,Okay. So you're sort of looking for that balance-,1,reducing alcohol consumption
1267,#NAME?,1,reducing alcohol consumption
1268,Okay. And what have you come up with at this point? Do you have sort of a-a limit that you stick to or are you--?,1,reducing alcohol consumption
1269,Mm-hmm. Okay. And do you feel that that's working pretty well for you or do you sometimes exceed that limit or-or what do you think?,1,reducing alcohol consumption
1270,-would like to make some adjustments-,1,reducing alcohol consumption
1271,#NAME?,1,reducing alcohol consumption
1272,Uh-huh. So kind of combining you alls-,1,reducing alcohol consumption
1273,"-goals. Okay. So, you-you have a goal it sounds like, of actually cutting back on your drinking. How important is it to you to work on that goal and on a scale of one to ten, where one is not at all important and ten is it's the most important thing right now?",1,reducing alcohol consumption
1274,Uh-huh. Why do you say six or seven rather than like a four?,1,reducing alcohol consumption
1275,"Yeah, looking ahead, you can't keep drinking this way and reach the goals that you have for yourself.",1,reducing alcohol consumption
1276,"Okay. Well, how confident are you that you could cut down if you wanted to-",1,reducing alcohol consumption
1277,#NAME?,1,reducing alcohol consumption
1278,"Oh, wow. Okay. Why do you say 10?",1,reducing alcohol consumption
1279,"Okay. And so you mentioned the- you know, quite a few reasons why you would like to cut down. Um, have you thought at all about how you might go about doing that?",1,reducing alcohol consumption
1280,"So sort of, um, trying to plan more activities that don't involve alcohol-",1,reducing alcohol consumption
1281,-and then also trying to participate in activities without drinking yourself or maybe even drinking less than you're drinking.,1,reducing alcohol consumption
1282,Okay. Does that sound like a goal you want to work on now or?,1,reducing alcohol consumption
1283,Does that sound like something you'd like to do?,1,reducing alcohol consumption
1284,"Okay. Well, I really appreciate you spending the time talking to me, you know, it sounds like you have a lot of really good goals for yourself, really ambitious goals of going to medical school and, you know, becoming a psychiatrist or, um, some-some other form of physician. Um, you're really looking forward to doing well in school so you can get there.",1,reducing alcohol consumption
1285,"And it sounds like you have a pretty active social life and a-a lot of friends who you feel probably would be, uh, supportive, even if you cut down on alcohol and that, you know, there's a lot of benefits you see both to your body and your health, um, your school performance, and even some of the social stuff in terms of feeling a sense of belonging without having to deal with some of the gross consequences of-of, um, drinking too much.",1,reducing alcohol consumption
1286,"Um, so yeah, you know, it really sounds to me like you have a good plan in place and as long as you're willing and-and interested in meeting again, I'd be very excited to be able to talk with you about how it's going.",1,reducing alcohol consumption
1287,All right. Great. So I'll-I'll plan to see you then in a few more weeks.,1,reducing alcohol consumption
1288,"Hi, Dr. Martin. I heard you had a question for me. What did you want to talk about?",0,providing information on medicines
1289,"Yeah, I'm the pharmacist on duty. Citalopram, okay. It's an antidepressant and it comes in 10, 20, and 40-milligram strengths. It's excreted in the urine and it has a half-life of about 35 hours. For side effects, there are sexual side effects, heart side effects, and stomach side effects.",0,providing information on medicines
